VL1,VL2,VL3,IL1,IL2,IL3,PFL3
262,258.87,260.23,13.9,17.613,16.91,0.84
261.63,258.42,260.32,14.399,18.719,16.444,0.82
260.97,258.02,261.27,14.744,19.724,12.18,0.8
261.34,258.33,261.42,15.02,19.463,13.065,0.82
261.34,257.95,261.01,14.294,18.953,12.971,0.84
260.75,258.38,261.55,19.112,17.482,10.242,0.8
260.48,257.96,260.94,19.239,20.268,13.412,0.86
261.01,259.03,261.13,16.132,18.773,13.363,0.87
260.74,259.17,261.93,16.883,18.936,11.019,0.84
260.64,258.56,262.11,15.851,21.391,9.917,0.81
261.35,258.35,262.14,15.789,22.28,11.914,0.84
261.51,258.4,262.09,14.772,20.381,11.807,0.85
261.85,258.28,261.7,13.753,19.135,12.457,0.84
261.73,258.04,261.59,14.032,20.457,12.852,0.84
262.04,257.78,261.45,13.516,21.187,11.735,0.79
261.53,258.32,260.5,13.339,17.539,13.85,0.83
261.51,258.2,258.98,16.091,18.41,19.269,0.83
259.98,258.58,261.2,18.585,18.26,11.331,0.81
260.08,258.89,261.59,19.03,18.27,11.26,0.81
260.5,259.11,261.77,18.082,17.814,10.997,0.8
259.98,258.3,261.55,17.959,20.895,10.203,0.78
261.27,258.4,261.56,12.56,17.109,9.699,0.76
261.11,258.11,261.15,13.237,19.298,11.202,0.78
261.68,257.69,260.68,15.677,22.113,13.927,0.83
261.3,258.37,260.76,15.284,19.676,13.625,0.81
261.45,257.37,260.23,22.284,27.48,22.296,0.93
260.55,257.74,260.47,14.939,18.251,12.075,0.79
259.51,258.16,260.78,18.096,18.469,10.587,0.78
259.97,258.59,261.15,16.836,18.096,10.07,0.77
259.98,258.55,261.09,17.646,18.792,10.673,0.79
259.71,257.42,260.73,15.956,22.911,9.807,0.74
259.43,257.28,260.34,18.074,22.449,12.095,0.79
259.54,257.01,259.62,18.258,23.449,15.27,0.87
259.93,257.67,260.73,17.301,19.421,11.204,0.8
260.2,257.78,260.53,16.274,17.976,11.273,0.8
260.25,257.91,260.4,15.573,18.019,11.021,0.78
260.43,257.93,260.18,14.717,18.513,11.653,0.8
259.66,258.01,260,17.753,18.071,12.312,0.82
259.72,258.81,260.75,18.517,17.117,10.445,0.78
259.39,258.37,260.17,21.366,20.222,13.067,0.83
259.09,258.51,260.22,20.276,17.482,11.242,0.79
259.83,258.19,259.97,18.185,18.484,14.042,0.87
260.01,257.76,260.87,16.697,20.847,11.775,0.83
260.25,257.69,260.56,17.109,19.862,12.346,0.84
260.92,257.85,259.71,14.797,19.331,14.713,0.82
260.98,257.33,259.02,16.313,20.627,17.957,0.86
260.32,257.29,260.13,15.22,22.409,12.782,0.83
260.23,258.16,260.08,17.489,18.152,13.066,0.81
259.52,258.33,259.93,21.684,19.791,14.144,0.82
259.58,257.16,259.48,23.775,26.448,20.831,0.92
259.57,258.26,260.13,21.269,22.753,15.912,0.9
260.49,258.34,260.85,18.145,19.575,13.529,0.86
261.35,258.7,261.27,14.166,17.655,11.784,0.83
261.15,259.04,261.23,13.795,16.195,10.78,0.81
261.41,259.93,260.86,16.337,13.967,13.894,0.84
261.92,260.46,260.89,15.156,13.162,14.481,0.85
261.52,260.71,261.29,17.692,12.587,12.73,0.81
261.14,261.59,261.7,22.796,12.784,12.582,0.79
260.91,261.71,261.75,24.392,12.95,13.093,0.82
260.22,261.31,260.93,24.777,13.065,14.151,0.86
259.65,260.45,260.9,26.239,16.543,13.68,0.85
259.93,260.29,261.09,21.237,13.493,10.997,0.81
260.94,259.94,261.32,14.878,12.067,9.842,0.77
260.89,259.57,261.38,17.507,16.365,11.287,0.79
261.28,260.09,261.25,16.092,12.644,11.149,0.77
261.19,260.09,261.47,16.855,12.056,11.053,0.76
260.94,259.62,261.25,19.179,16.249,13.026,0.8
259.58,260.44,261.62,26.799,16.496,11.323,0.78
259.81,260.43,260.61,26.697,17.664,15.503,0.88
259.51,260.7,261.55,29.941,14.458,11.76,0.8
259.95,260.44,261.48,21.536,12.834,10.561,0.8
260.2,260.12,261.55,19.379,12.109,9.737,0.77
261.08,259.81,261.75,14.576,11.559,8.923,0.72
261.02,259.72,261.36,17.51,12.567,11.712,0.78
260.57,258.45,260.62,22.52,20.784,18.539,0.92
261.13,260.22,262.05,18.556,14.203,10.396,0.75
261.16,260.39,262.16,16.21,11.005,8.898,0.72
259.64,260.57,261.09,23.339,11.358,10.708,0.78
259.71,260.21,260.5,23.099,13.147,13.445,0.85
259.79,259.55,260.88,20.208,14.025,11.01,0.78
260.08,258.9,261.28,17.884,16.277,10.082,0.76
259.78,258.63,261.43,20.56,20.469,10.803,0.81
261.2,258.51,261.51,14.962,16.88,10.384,0.76
261.52,258.61,261.73,14.806,17.302,10.146,0.73
262.09,257.99,261.83,15.862,22.424,11.395,0.77
261.81,257.55,261.78,16.57,23.276,11.161,0.8
261.43,256.58,261.74,16.541,26.791,9.809,0.77
261.05,257.28,261.17,16.245,25.87,12.339,0.85
261.11,257.3,261.64,14.243,26.33,9.977,0.74
260.98,256.84,261.52,14.714,27.725,10.686,0.76
260.91,257.93,261.65,16.213,24.776,11.196,0.77
261.04,257.93,261.54,18.202,23.533,13.238,0.83
261.16,257.73,261.84,17.621,24.905,12.591,0.8
262.91,259.06,263.29,14.927,23.102,10.702,0.73
263.05,259.18,263.34,15.073,21.261,10.328,0.74
262.46,258.25,262.57,17.462,23.008,12.477,0.83
262.59,257.62,261.83,22.282,28.735,19.315,0.93
262.45,259.08,262.8,15.305,21.389,10.925,0.8
261.98,259.58,262.81,16.276,21.943,11.249,0.78
262.39,259.94,263.07,15.693,21.062,11.009,0.75
262.53,260.09,263.28,16.09,20.678,10.711,0.71
262.03,259.63,263.02,19.638,24.706,12.771,0.75
263.17,260.6,263.79,18.237,22.488,12.582,0.77
264.66,260.93,264.86,15.09,21.191,10.897,0.72
264.47,261.46,264.31,15.566,18.1,12.743,0.78
264.12,261.42,263.58,15.888,16.322,14.449,0.81
263.16,260.72,264.6,15.58,20.12,9.987,0.79
263.4,261.39,264.47,17.58,20.614,12.477,0.86
262.72,261.53,264.21,21.668,20.657,12.562,0.81
263.08,261.93,264.18,21.421,19.021,12.5,0.78
263.37,262.17,264.27,22.16,18.258,13.527,0.79
263.24,262.57,264.84,21.888,17.84,11.19,0.73
263.47,262.95,265.45,22.897,19.132,10.829,0.72
263.25,262.15,264.61,18.198,14.602,10.943,0.81
263.5,262.88,264.97,17.191,11.827,9.585,0.77
263.56,262.95,265.19,16.388,12.113,8.411,0.72
263.94,263.17,264.57,15.596,12.294,10.875,0.84
263.73,262.49,263.86,19.929,16.52,15.757,0.86
262.96,262.83,263.49,23.457,16.632,16.232,0.87
262.94,263.61,263.74,23.58,11.855,12.902,0.75
262.81,263.62,263.91,24.078,11.699,12.465,0.74
262.73,263.66,264.24,23.952,11.88,11.71,0.75
262.64,263.43,264.43,23.109,12.661,10.902,0.74
263.98,262.51,264.89,16.366,14.888,10.68,0.76
263.41,262.31,265.06,17.458,16.693,9.432,0.71
264.8,262.72,265.09,14.066,14.512,10.866,0.77
264.38,262.81,264.4,18.66,14.468,12.891,0.82
260.49,260.32,265.29,49.601,30.046,15.609,0.87
259.67,260.02,264.74,53.672,29.239,17.346,0.89
258.19,259.92,264.27,57.051,29.208,17.321,0.91
257.99,259.29,263.45,59.28,30.724,21.157,0.92
257.71,259.3,263.7,58.082,29.898,19.224,0.91
257.77,259.22,263.63,58.223,30.109,19.547,0.92
258.03,258.69,264.14,55.395,32.524,17.415,0.91
258.66,258.77,264.11,53.649,31.95,18.214,0.92
258.93,259.12,263.85,53.184,32.64,19.622,0.92
258.99,258.78,264.04,54.865,33.457,20.045,0.92
259.52,259.65,264.87,52.896,29.247,17.204,0.91
259.25,259.49,264.84,55.69,30.206,18.569,0.92
258.34,260.07,264.71,58.593,29.887,18.423,0.92
258.39,259.89,264.6,59.353,30.975,20.508,0.92
258.54,260.52,265.1,57.031,29.199,17.541,0.9
258.23,260.71,264.89,58.074,28.55,18.331,0.9
259.56,260.88,264.75,53.852,26.931,19.617,0.91
259.94,260.44,265.06,53.21,28.509,19.569,0.91
260.18,260.65,265.36,52.938,27.675,18.543,0.9
260.24,259.57,265.02,58.684,34.076,26.592,0.95
260.03,260.91,265.89,54.037,26.967,16.962,0.91
260.17,260.87,265.92,55.25,27.669,18.161,0.91
259.68,261.54,266.19,56.389,27.263,16.438,0.91
259.39,261.47,265.95,57.981,27.51,17.332,0.91
258.79,260.99,265.22,57.406,27.189,17.304,0.9
258.98,260.82,264.35,55.773,27.368,19.741,0.92
259.44,260.73,264.66,54.117,27.35,18.307,0.89
260.11,260.29,264.85,52.555,27.754,18.28,0.89
260.07,260.48,265.62,52.259,27.197,15.831,0.91
259.47,260.18,265.23,53.828,26.95,15.691,0.91
259.47,260.17,265.22,53.77,26.949,15.712,0.91
259.54,260.03,265.11,54.818,27.62,17.479,0.91
259.46,260.67,265.4,55.499,27.756,16.993,0.9
259.31,261.25,265.33,56.507,27.294,17.679,0.9
259.28,261.24,265.25,54.994,26.989,16.561,0.9
259.4,261.22,264.71,55.48,27.317,19.785,0.93
259.33,261.01,265.22,54.581,26.904,16.699,0.9
260.16,260.52,265.41,53.487,26.909,16.517,0.89
260.26,260.69,265.7,53.739,26.983,16.13,0.9
260.29,260.84,265.89,53.933,27.334,15.892,0.9
260.9,261.32,266.05,53.735,27.063,16.342,0.9
261.16,261.46,265.84,53.087,26.903,16.775,0.89
260.9,261.02,265.42,51.861,26.901,16.716,0.89
259.74,261.49,265.7,55.585,27.207,16.224,0.91
259.77,261.71,265.37,54.939,26.907,17.581,0.93
259.57,261.6,265.73,56.054,26.891,16.007,0.9
259.86,261.89,265.79,56.788,26.882,16.603,0.89
259.79,260.62,265.05,54.409,26.843,16.557,0.9
260.28,260.61,265.29,53.538,26.831,16.696,0.9
260.21,260.43,265.08,53.522,26.826,17.063,0.89
260.73,260.72,265.32,51.66,26.825,16.822,0.89
260.62,260.7,265.35,51.555,26.836,16.461,0.9
