IL1,IL2,IL3,PF
50.867,26.964,17.674,0.94
54.705,27.198,16.101,0.92
55.104,27.209,21.367,0.89
55.682,27.598,22.67,0.89
54.241,27.963,18.701,0.92
50.179,27.185,16.579,0.92
50.612,27.873,17.307,0.93
51.976,31.706,20.578,0.94
58.308,35.75,28.646,0.96
54.67,30.25,22.927,0.95
54.448,28.75,23.416,0.95
55.673,28.531,19.816,0.93
56.985,29.558,22.4,0.94
56.91,32.137,20.351,0.92
53.12,27.205,16.527,0.9
48.04,25.12,15.647,0.9
33.663,13.056,11.485,0.82
35.655,13.015,12.848,0.85
23.403,12.251,10.699,0.75
14.808,11.675,10.388,0.74
19.663,18.551,18.297,0.9
17.484,11.911,11.012,0.74
21.466,12.376,11.12,0.8
21.134,12.1,10.006,0.79
22.142,12.745,12.485,0.87
19.44,13.012,10.11,0.83
16.64,12.225,14.378,0.91
16.184,11.443,14.798,0.9
15.06,11.003,12.718,0.85
15.002,12.461,14.124,0.83
15.148,12.719,14.099,0.81
17.583,15.93,12.175,0.82
19.22,11.263,12.285,0.85
22.666,11.703,10.494,0.83
22.803,12.18,10.995,0.85
23.681,13.557,12.137,0.87
14.714,11.207,10.602,0.84
15.204,12.778,13.591,0.88
17.133,16.22,15.256,0.88
18.673,20.679,18.523,0.94
15.852,12.011,14.182,0.89
16.883,12.834,11.631,0.84
17.363,11.901,11.914,0.84
22.882,12.232,12.298,0.85
21.199,11.692,13.397,0.85
22.297,13.737,18.329,0.87
18.598,14.577,11.573,0.82
16.683,16.256,14.66,0.87
16.998,13.347,15.195,0.9
23.149,22.449,21.625,0.94
16.085,12.509,12.053,0.81
16.906,13.464,13.833,0.83
16.658,14.349,13.229,0.82
23.721,15.749,12.436,0.81
21.953,13.653,13.796,0.84
24.088,15.584,13.414,0.83
22.639,13.453,13.861,0.83
17.645,12.859,13.498,0.87
17.144,12.163,10.632,0.8
15.901,12.451,10.916,0.81
15.562,13.409,12.392,0.84
15.377,13.838,13.302,0.85
15.624,13.997,13.324,0.84
25.559,23.09,23.129,0.94
23.664,14.872,15.015,0.86
26.119,16.391,13.4,0.85
24.213,14.271,13.473,0.86
17.186,12.525,11.345,0.82
16.258,12.954,11.394,0.82
17.098,15.547,12.997,0.85
18.138,16.81,12.482,0.84
16.362,14.467,14.2,0.84
21.496,19.588,23.208,0.89
25.986,17.534,16.841,0.9
23.259,12.205,11.523,0.79
24.176,13.446,13.054,0.82
22.791,13.598,12.913,0.83
15.472,12.933,11.716,0.82
15.992,12.819,11.456,0.81
16.651,14.827,12.37,0.83
18.19,13.03,12.192,0.82
18.774,13.432,12.845,0.84
24.097,22.597,19.433,0.93
25.048,13.624,13.042,0.85
23.869,13.671,13.906,0.85
22.516,13.391,12.932,0.82
25.993,18.11,15.363,0.85
17.688,14.612,13.701,0.83
17.828,13.83,12.174,0.82
20.04,15.798,13.834,0.85
16.982,12.65,12.288,0.81
17.622,13.579,12.363,0.81
18.873,12.336,11.028,0.77
21.885,11.659,10.242,0.76
21.769,12.271,11.33,0.79
22,12.833,12.554,0.81
23.052,13.968,13.099,0.8
21.675,12.84,13.243,0.8
17.008,11.446,11.647,0.76
18.579,14.317,13.446,0.83
20.213,17.622,16.18,0.91
16.831,11.818,9.746,0.73
17.382,13.548,11.542,0.79
21.948,11.504,10.386,0.77
23.991,14.978,11.904,0.81
22.79,12.934,12.223,0.82
23.584,11.371,10.76,0.77
24.039,12.906,13.329,0.81
17.836,13.148,12.385,0.78
17.215,11.892,12.037,0.77
17.542,12.462,12.107,0.8
15.636,11.02,9.988,0.75
14.76,11.366,10.479,0.76
21.261,12.055,11.192,0.78
22.017,11.496,9.694,0.73
23.944,13.225,11.619,0.8
24.111,12.176,10.353,0.76
23.163,11.417,10.105,0.74
23.163,14.883,11.862,0.76
21.234,21.052,21.636,0.92
15.914,11.463,15.204,0.82
14.979,12.201,12.515,0.73
15.567,14.191,13.388,0.78
14.457,12.262,12.15,0.75
21.206,11.664,11.307,0.72
22.995,11.883,11.92,0.74
23.849,12.991,18.777,0.78
22.723,11.129,12.673,0.73
22.959,12.307,12.499,0.76
16.229,11.686,12.847,0.73
13.781,10.991,13.787,0.78
13.306,10.659,11.744,0.67
14.456,12.433,12.257,0.73
13.777,11.198,10.034,0.71
20.983,13.416,12.512,0.8
23.361,12.547,11.577,0.77
23.273,11.969,10.278,0.72
22.863,11.601,9.001,0.72
22.672,11.763,9.649,0.74
18.057,11.07,9.445,0.75
13.874,11.652,11.513,0.8
14.41,12.884,10.729,0.75
13.671,11.082,11.02,0.71
16.615,12.455,12.695,0.76
