VL1,VL2,VL3,IL1,IL2,IL3,PFL3
128.24,127.43,127.68,4.112,6.035,3.669,0.64
127.51,127.4,127.81,7.772,6.052,6.71,0.51
126.92,127.17,127.2,10.283,6.169,9.848,0.62
127.48,126.71,126.63,8.214,6.016,8.452,0.73
126.44,126.91,126.58,8.325,6.105,10.127,0.73
124.38,125.38,124.71,38.288,27.321,41.789,0.47
125.25,126.41,125.07,27.325,14.122,30.695,0.49
125.2,126.77,125.17,25.08,6.134,25.437,0.44
125.63,126.58,125.85,20.9,6.23,22.028,0.47
125.6,126.48,125.36,19.841,6.027,21.724,0.53
126.67,126.52,126.1,14.103,5.956,13.842,0.41
125.41,126.34,126.13,23.726,15.546,23.091,0.42
125.66,125.58,125.55,29.57,27.514,29.618,0.47
126.73,126.8,126.47,10.547,6.408,10.876,0.55
126.59,126.74,126.17,10.733,6.408,9.582,0.37
126.64,126.7,127.03,5.95,6.982,4.761,0.4
126.96,126.46,126.69,4.084,7.326,3.848,0.68
126.79,126.87,126.01,6.109,7.225,8.069,0.73
127.46,126.74,127.04,5.817,7.366,6.861,0.76
127.92,127.12,127.38,7.354,10.033,8.156,0.59
126.37,125.4,125.49,27.154,31.081,26.971,0.55
127.26,126.23,126.09,8.239,6.75,11.733,0.78
126.97,126.59,126.66,7.657,6.353,8.81,0.68
127.44,126.58,126.79,3.955,6.283,4.213,0.73
126.91,126.44,126.58,5.457,6.141,4.946,0.63
125.33,126.99,127.08,10.176,6.062,3.666,0.7
125.09,126.03,125.85,26.083,21.788,20.603,0.6
124.14,125.97,125.59,31.414,19.28,22.727,0.52
124.34,126.59,125.82,31.049,6.209,22.236,0.47
124.11,126.66,125.64,33.423,6.454,24.949,0.5
125.05,126.12,124.33,30.734,8.338,31.534,0.51
124.54,124.89,124.48,31.025,28.558,33.777,0.52
125.89,125.9,126.22,9.356,6.325,9.23,0.75
126.13,126.31,125.91,9.173,6.211,9.019,0.74
127.14,127.13,126.98,7.967,6.377,7.879,0.78
126.93,127.1,127.18,7.651,6.244,7.6,0.8
127.16,127.53,127.28,9.293,6.704,8.873,0.7
128.52,127.76,128.05,4.84,6.847,4.334,0.64
128.05,128.05,128.5,3.506,7.146,3.123,0.69
127.31,126.2,127.44,27.018,29.518,26.897,0.5
128.3,127.91,128.17,4.419,7.155,3.88,0.63
128.71,127.78,128.81,3.804,7.141,3.264,0.69
127.58,128.06,128.63,4.567,7.262,4.072,0.61
