IL1,IL2,IL3,PF
11.168,2.626,11.557,0.53
11.915,2.343,10.127,0.53
11.593,3.528,6.559,0.53
11.609,2.641,6.853,0.52
10.065,2.96,11.196,0.51
10.9,2.428,9.198,0.51
13.603,5.374,6.996,0.58
22.622,12.719,9.25,0.68
23.111,12.558,13.187,0.68
17.103,8.725,7.758,0.66
10.746,1.343,5.026,0.52
15.005,7.192,13.211,0.82
22.002,10.935,24.173,0.93
23.08,13.024,27.587,0.94
23.74,12.243,24.007,0.94
23.669,12.811,23.79,0.94
30.373,15.826,23.145,0.92
36.978,20.354,27.766,0.93
33.304,18.206,28.231,0.93
23.802,13.229,24.093,0.94
23.166,13.626,24.828,0.94
22.58,12.792,23.37,0.94
22.043,12.351,21.962,0.95
22.663,11.816,22.884,0.94
21.736,13.459,21.651,0.95
22.935,12.418,27.108,0.94
22.021,11.252,21.573,0.95
22.566,11.249,22.196,0.94
31.17,14.624,24.304,0.91
32.971,15.764,21.959,0.92
22.238,12.053,21.863,0.94
21.768,11.267,24.42,0.94
21.589,9.737,20.701,0.92
21.98,10.942,21.995,0.92
21.339,10.108,23.67,0.93
21.979,9.608,21.018,0.92
21.924,10.244,21.317,0.92
21.956,9.604,21.292,0.92
21.039,9.616,19.607,0.93
20.86,11.766,20.007,0.93
21.088,9.624,19.504,0.93
21.237,9.621,20.076,0.93
21.063,9.613,20.153,0.93
21.19,11.132,20.85,0.93
23.807,10.811,19.662,0.91
31.464,14.629,19.542,0.91
25.876,11.423,20.645,0.91
20.23,9.613,18.788,0.94
20.337,10.669,19.246,0.94
21.2,9.647,23.912,0.93
20.39,9.624,18.397,0.94
20.401,9.629,18.441,0.94
21.279,9.629,19.722,0.93
21.036,9.632,19.35,0.93
20.454,10.398,18.761,0.93
21.071,9.639,19.446,0.93
20.754,9.646,19.423,0.93
21.007,9.681,23.758,0.93
20.392,9.65,18.472,0.94
20.337,9.65,18.479,0.94
20.361,9.647,18.485,0.94
20.626,9.647,18.803,0.93
20.43,9.648,18.49,0.93
20.449,9.656,19.589,0.93
20.45,9.662,20.288,0.93
20.335,9.645,18.555,0.93
20.326,9.647,18.266,0.93
20.754,9.651,18.664,0.93
20.368,9.649,18.145,0.93
20.356,9.666,22.294,0.93
20.333,9.648,19.931,0.93
20.31,9.638,18.434,0.93
20.233,9.641,18.304,0.94
20.224,9.729,19.649,0.94
20.318,9.887,21.926,0.94
20.188,9.649,17.928,0.94
20.218,9.647,17.915,0.94
20.237,9.647,17.916,0.94
20.257,9.645,17.921,0.94
20.254,9.671,21.306,0.94
20.219,9.664,20.052,0.94
20.232,9.651,17.918,0.94
20.241,9.65,17.904,0.94
29.424,13.523,17.92,0.91
26.77,12.437,17.988,0.92
20.054,9.672,22.448,0.94
20.117,9.645,18.687,0.94
20.149,9.641,18.055,0.94
20.18,9.64,18.305,0.94
20.205,9.638,18.291,0.94
20.157,9.646,19.49,0.94
20.435,9.665,22.305,0.93
20.186,9.641,17.896,0.94
20.149,9.642,17.895,0.94
20.156,9.64,17.905,0.94
20.196,10.912,22.038,0.94
21.924,9.704,22.216,0.92
20.126,9.636,17.915,0.94
20.497,9.633,18.431,0.93
20.225,10.625,18.371,0.94
20.435,9.634,18.49,0.93
20.161,9.666,22.453,0.94
20.223,9.644,18.502,0.94
20.262,9.643,17.891,0.94
20.373,9.644,18.186,0.94
20.125,9.641,17.897,0.94
20.184,9.653,19.528,0.94
20.164,9.669,21.738,0.94
20.06,9.634,17.859,0.94
20.024,9.63,17.852,0.94
20.05,9.625,17.868,0.94
20.118,9.622,17.878,0.94
21.254,9.828,22.002,0.93
21.016,9.626,21.769,0.93
20.125,9.611,17.853,0.94
20.12,9.612,17.855,0.94
20.097,9.611,17.837,0.94
20.062,9.605,17.843,0.94
20.079,9.627,22.029,0.94
21.567,9.598,21.074,0.92
20.948,9.594,19.1,0.93
21.524,9.594,19.941,0.93
21.359,9.601,19.647,0.93
20.421,9.618,19.333,0.94
20.386,9.641,22.895,0.94
19.829,9.615,18.192,0.94
20.91,9.611,19.616,0.93
21.696,10.482,18.162,0.93
32.517,16.218,18.162,0.93
23.835,11.81,20.724,0.93
22.265,9.625,24.213,0.92
20.23,9.616,18.751,0.94
21.104,9.613,19.966,0.93
20.662,10.586,19.683,0.93
19.752,9.628,18.075,0.94
19.768,11.22,23.186,0.94
20.656,9.636,20.471,0.93
20.716,9.622,19.524,0.93
21.63,9.618,20.737,0.93
20.281,10.225,19.047,0.95
20.503,11.377,25.858,0.95
20.654,13.312,31.128,0.95
23.175,12.46,28.491,0.96
26.943,14.844,25.889,0.96
32.104,16.028,20.26,0.94
26.768,12.728,24.122,0.94
23.609,13.28,22.925,0.96
23.029,12.748,23.004,0.94
23.263,11.262,23.098,0.94
23.261,11.217,23.291,0.95
21.729,10.854,22.112,0.93
18.007,10.58,21.642,0.9
10.841,2.926,6.175,0.53
22.177,13.334,4.638,0.72
18.288,10.183,6.596,0.68
9.041,2.893,8.592,0.52
9.604,1.069,4.172,0.54
