VL1,VL2,VL3,IL1,IL2,IL3,PFL1
132.39,132.83,133.91,22.137,12.109,9.31,0.7
132.72,132.88,134,17.048,8.181,7.844,0.68
132.75,132.85,134.02,11.426,1.406,5.327,0.59
132.83,133.04,133.53,11.533,0.903,9.937,0.59
132.81,132.74,133.75,12.151,3.394,7.689,0.65
132.95,132.56,133.88,10.9,4.151,5.974,0.63
132.92,132.73,133.5,10.679,2.85,9.378,0.58
133.74,133.44,134.5,9.434,0.909,6.812,0.55
134.23,133.71,135.26,10.254,3.08,5.184,0.54
134.1,133.74,134.57,10.834,3.096,10.843,0.55
134.05,133.61,135.07,10.603,2.094,6.62,0.59
134.19,133.64,135.45,10.242,2.027,3.816,0.58
134.45,134.03,134.92,10.078,2.708,10.213,0.53
134.05,133.51,135.22,13.951,7.389,7.188,0.63
132.97,133.04,134.63,22.741,12.416,10,0.69
133.64,133.67,134.54,15.496,6.172,10.918,0.64
134.28,133.63,135.41,10.076,3.538,5.335,0.54
133.99,133.49,134.91,9.917,2.799,7.326,0.55
134.07,133.74,134.61,10.596,2.38,9.667,0.58
133.69,133.29,134.92,11.393,1.724,5.095,0.56
133.73,133.26,134.43,10.337,1.008,8.057,0.55
133.46,133.08,134.14,10.705,1.613,8.616,0.57
133.47,132.92,134.58,10.49,1.598,4.54,0.56
132.47,133.25,133.96,9.31,1.08,7.808,0.58
132.13,133.25,133.9,9.612,0.896,9.623,0.59
131.48,132.6,133.76,20.993,11.659,10.002,0.71
133.04,132.97,133.96,17.291,8.553,11.316,0.67
132.42,133.1,134.16,10.854,1.469,9.747,0.59
131.74,133.09,134.98,9.47,2.087,5.486,0.6
133.91,133.49,134.31,9.588,2.196,10.256,0.55
134.47,134.06,134.8,10.229,2.835,11.155,0.54
134.08,133.8,135.16,11.051,3.192,5.796,0.6
134.05,134.01,134.77,11.098,3.02,7.273,0.67
134.09,134.2,134.36,11.284,3.117,9.435,0.68
134.47,134.26,135.13,12.038,1.757,7.589,0.58
134.74,134.36,135.53,11.336,1.658,7.134,0.56
134.24,133.97,134.5,11.899,5.95,9.984,0.63
133.27,133.53,134.55,22.389,12.421,8.941,0.69
134.05,133.9,135.13,13.823,5.575,4.957,0.61
134.32,134.12,134.86,10.268,1.309,6.566,0.54
134.4,134.27,134.31,9.181,3.429,10.742,0.53
134.56,134.34,134.67,9.969,1.779,9.631,0.53
134.45,134.05,134.66,10.537,3.681,9.943,0.62
133.9,133.53,134.28,13.416,4.835,10.537,0.74
133.42,133.14,133.82,13.715,4.952,10.858,0.75
133.71,133.47,134.47,11.034,3.659,5.364,0.7
134.13,133.87,134.92,11.383,1.339,5.207,0.55
134.51,134.28,134.37,11.22,4.155,13.02,0.54
133.84,133.99,134.02,11.502,2.547,11.549,0.56
133.89,133.74,134.84,11.21,1.852,5.917,0.55
134.04,133.49,135.01,9.477,3.224,4.398,0.54
134.11,133.75,134.55,11.245,2.209,10.462,0.54
134.04,133.86,134.37,10.695,2.808,11.059,0.54
133.41,133.6,134.05,17.262,9.125,12.656,0.67
133.36,133.39,134.71,22.588,12.501,10.381,0.69
134.41,134.11,134.77,12.808,4.824,11.273,0.59
134.55,134.19,134.95,10.19,1.411,9.637,0.52
134.07,133.96,134.33,10.939,2.537,11.092,0.54
134.14,134.08,134.28,9.886,3.809,11.85,0.54
134.66,134.26,134.87,8.902,2.091,9.084,0.52
134.73,134.36,135,11.596,3.199,11.851,0.54
134.56,134.08,134.85,11.53,4.741,11.476,0.64
134.68,134.24,134.78,10.854,3.376,11.805,0.53
134.42,134.11,134.82,11.004,1.368,10.221,0.54
134.57,134.2,134.98,10.262,1.381,9.661,0.53
134.97,134.6,135.39,10.312,1.902,9.973,0.51
134.76,134.81,135.13,10.983,1.317,10.122,0.52
134.87,134.69,135.25,10.399,2.447,9.81,0.52
134.92,134.81,135.36,10.582,0.943,9.401,0.52
133.58,133.67,134.91,21.933,12.697,9.882,0.7
133.5,133.81,134.48,20.141,11.456,12.226,0.69
134.47,134.18,134.92,10.714,3.361,10.188,0.53
134.71,134.29,135.24,10.798,3.139,10.388,0.53
134.54,134.46,134.81,12.388,2.003,12.063,0.54
134.41,134.62,134.67,10.85,1.464,10.595,0.54
134.25,134.33,134.44,11.159,2.287,11.519,0.54
134.95,134.29,135.26,10.015,2.999,9.441,0.52
134.82,134.31,134.99,10.613,3.017,11.808,0.52
134.94,134.49,135.18,10.57,2.943,11.656,0.52
135.06,134.5,135.39,8.698,0.951,8.58,0.51
134.94,134.47,135.23,10.53,3.133,10.875,0.57
134.44,134.43,134.52,10.162,2.606,11.083,0.53
133.88,133.98,134.66,19.226,10.575,11.49,0.67
133.37,133.71,134.56,22.575,12.46,11.636,0.69
134.55,134.64,134.95,13.67,3.913,11.186,0.58
134.32,134.57,134.35,12.303,3.897,14.171,0.55
135.04,134.61,135.43,10.141,2.943,9.65,0.51
134.99,134.6,135.5,11.292,1.63,10.302,0.52
134.83,134.53,135.26,11.273,0.957,10.655,0.52
134.9,134.44,134.89,10.184,1.645,14.964,0.52
134.9,134.54,135.26,10.818,1.968,11.037,0.51
134.75,134.39,135.14,14.081,6.188,12.774,0.59
134.03,134.1,135.28,21.983,12.315,10.525,0.67
134.64,134.31,135,15.169,8.159,12.506,0.62
135.23,134.81,135.55,9.892,2.126,10.214,0.48
134.8,134.65,135.3,11.45,1.004,10.693,0.5
134.82,134.56,135.33,10.509,0.997,9.911,0.52
134.17,133.88,134.57,10.84,2.67,11.596,0.54
133.94,133.72,134.45,11.058,1.341,10.785,0.55
134.1,133.73,134.41,10.767,3.378,12.489,0.55
134.38,133.99,134.71,10.739,3.118,12.133,0.54
134.5,134.05,134.71,10.633,4.076,13.358,0.54
134,133.89,134.73,16.216,7.559,12.56,0.64
133.65,133.5,134.98,21.661,12.658,10.553,0.69
134.81,134.33,135.9,12.996,4.303,7.26,0.57
134.79,134.59,135.1,10.64,2.266,11.078,0.52
134.96,134.8,135.29,11.55,1.922,10.928,0.54
134.9,134.47,135.92,11.344,2.149,6.354,0.52
134.85,134.62,135.62,11.621,0.947,8.789,0.52
135.23,134.77,136.11,9.911,1.5,5.828,0.5
135.05,134.79,136.11,12.121,2.063,6.596,0.52
135.23,134.99,135.93,11.464,1.895,8.387,0.51
135.14,134.88,136.14,11.486,2.217,6.657,0.52
134.75,134.8,135.34,12.275,1.981,10.117,0.58
135.03,135.07,135.43,11.448,2.056,10.358,0.57
135.06,135.03,135.39,10.614,2.174,10.654,0.49
134.6,134.83,135.6,11.151,1.947,5.2,0.49
133.79,134.41,135.59,21.144,11.359,5.423,0.67
133.89,134.64,135.15,22.817,12.4,10.868,0.68
134.45,134.61,135.28,10.699,2.119,6.391,0.53
134.38,134.79,135.41,11.322,1.041,5.104,0.53
134.27,134.75,134.57,11.168,2.626,11.557,0.53
134.21,134.72,134.71,11.915,2.343,10.127,0.53
134.31,134.63,135.16,11.593,3.528,6.559,0.53
134.4,134.84,135.27,11.609,2.641,6.853,0.52
