IL1,IL2,IL3,PF
2.862,15.846,5.218,0.82
1.183,16.623,2.141,0.85
0,15.403,0,0.82
0,15.396,0,0.82
1.127,16.325,4.48,0.84
0,16.029,3.464,0.83
2.332,15.462,3.797,0.82
0,15.379,0,0.82
0,16.55,0,0.85
0,15.379,0,0.82
0,15.379,0,0.82
0,15.395,0,0.82
2.233,16.527,5.551,0.84
2.232,15.748,3.884,0.82
0,15.512,1.254,0.82
0,16.551,0,0.85
0,15.378,0,0.82
0,15.371,0,0.82
0,15.361,0,0.82
0,15.341,0,0.82
0,17.599,6.409,0.86
0,15.372,0,0.82
0,16.502,0,0.85
0,15.375,0,0.82
0,15.38,0,0.82
0,16.125,3.714,0.84
1.956,15.925,5.382,0.83
11.687,22.162,15.146,0.87
14.291,24.31,17.938,0.88
13.713,25.177,17.005,0.89
8.222,18.829,10.222,0.85
0,15.28,0,0.82
0,15.341,0,0.82
0,15.328,0,0.82
0,15.31,0,0.82
0,15.322,0.583,0.82
0,16.429,0,0.85
0,15.345,0,0.82
0,15.346,0,0.82
0,15.368,0,0.82
1.689,15.376,7.997,0.82
0,16.416,4.404,0.84
0,15.377,0,0.82
2.507,17.576,7.681,0.86
2.336,15.55,7.201,0.82
0,15.356,0,0.82
0,15.93,3.247,0.83
0,15.334,0,0.82
0,15.825,3.254,0.83
0,18.185,7.341,0.87
0,16.233,0,0.84
0,15.357,0,0.82
0,17.656,6.473,0.86
0,15.379,0,0.82
0,15.379,0,0.82
1.127,20.339,11.043,0.87
0,23.067,11.14,0.9
0,23.422,12.188,0.9
2.807,23.136,12.924,0.9
0,23.421,11.362,0.9
0,23.091,11.172,0.9
0,22.495,10.857,0.89
0,23.754,11.442,0.9
0,22.481,10.856,0.89
6.265,28.359,16.73,0.93
0,22.494,10.857,0.89
0,22.478,10.702,0.89
0,15.377,0,0.84
0,15.372,0,0.84
1.092,13.841,4.651,0.81
0,14.045,7.069,0.82
1.077,15.129,3.989,0.85
1.762,13.919,4.737,0.81
0,17.307,9.064,0.87
0.984,16.338,10.106,0.86
0,13.812,3.814,0.81
6.765,18.321,11.549,0.85
11.498,21.696,22,0.87
11.191,22.626,23.278,0.88
10.309,19.623,21.299,0.87
0,7.246,16.855,0.97
0,11.238,11.56,0.8
0,16.405,11.666,0.85
0.94,16.654,12.362,0.85
1.441,20.685,19.645,0.9
1.373,18.744,16.909,0.88
1.039,22.869,16.072,0.92
1.337,16.699,15.95,0.85
0.94,16.615,13.495,0.85
0,19.503,14.422,0.89
0,17.209,12.675,0.86
0,17.341,12.946,0.86
1.017,17.061,13.28,0.87
0,15.545,11.81,0.84
0,15.523,11.743,0.84
0,18.085,13.491,0.88
0.984,16.428,14.161,0.86
0,17.16,13.279,0.87
1.487,15.304,12.616,0.83
0,22.534,15.546,0.92
0,18.065,13.786,0.88
1.057,17.702,13.584,0.87
0,17.942,12.889,0.88
0,13.856,15.04,0.92
0,19.252,11.997,0.9
0,16.107,10.471,0.86
7.955,20.549,16.072,0.87
12.342,24.449,21.355,0.88
11.759,28.463,23.947,0.89
9.31,23.064,19.761,0.88
0.962,20.543,15.38,0.9
0,17.79,11.752,0.87
0.95,16.08,13.671,0.85
0.984,15.816,13.216,0.84
0,18.012,15.284,0.89
0,5.836,11.73,0.87
0,12.657,11.935,0.88
0,4.886,14.721,0.95
0,5.446,14.405,0.98
0,0.932,11.519,0.57
1.061,6.439,13.599,0.95
0,8.097,14.746,0.95
0,18.501,14.088,0.9
0,17.881,13.67,0.88
0,19.2,15.44,0.89
0,18.922,14.763,0.9
1.438,1.049,17.245,0.67
0,2.769,13.944,0.89
0,5.88,14.239,0.93
0,4.266,13.078,0.93
0,0,11.229,0.78
0.962,1.382,13.802,0.63
0.973,0.999,15.428,0.73
0.907,1.043,15.968,0.77
0,7.268,15.402,0.95
0,1.517,13.498,0.74
0,1.397,12.021,0.65
1.05,6.957,17.378,0.94
1.048,1.443,15.015,0.68
0,1.667,13.354,0.68
1.028,7.299,19.03,0.94
0.973,1.635,15.939,0.68
0,5.28,13.283,0.97
0,2.553,12.818,0.84
